geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00121,AR,Poste,0,3,352,399,436,478,510,584,672
00121,RS,Poste,0,3,214,261,298,340,372,446,533
00122,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00122,AR,Poste,0,3,352,399,436,478,510,584,672
00122,RS,Poste,0,3,214,261,298,340,372,446,533
00123,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00123,AR,Poste,0,3,352,399,436,478,510,584,672
00123,RS,Poste,0,3,214,261,298,340,372,446,533
00124,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00124,AR,Poste,0,3,352,399,436,478,510,584,672
00124,RS,Poste,0,3,214,261,298,340,372,446,533
00125,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00125,AR,Poste,0,3,352,399,436,478,510,584,672
00125,RS,Poste,0,3,214,261,298,340,372,446,533
00126,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00126,AR,Poste,0,3,352,399,436,478,510,584,672
00126,RS,Poste,0,3,214,261,298,340,372,446,533
00127,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00127,AR,Poste,0,3,352,399,436,478,510,584,672
00127,RS,Poste,0,3,214,261,298,340,372,446,533
00128,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00128,AR,Poste,0,3,352,399,436,478,510,584,672
00128,RS,Poste,0,3,214,261,298,340,372,446,533
00131,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00131,AR,Poste,0,3,352,399,436,478,510,584,672
00131,RS,Poste,0,3,214,261,298,340,372,446,533
00132,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00132,AR,Poste,0,3,352,399,436,478,510,584,672
00132,RS,Poste,0,3,214,261,298,340,372,446,533
00133,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00133,AR,Poste,0,3,352,399,436,478,510,584,672
00133,RS,Poste,0,3,214,261,298,340,372,446,533
00134,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00134,AR,Poste,0,3,352,399,436,478,510,584,672
00134,RS,Poste,0,3,214,261,298,340,372,446,533
00135,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00135,AR,Poste,0,3,352,399,436,478,510,584,672
00135,RS,Poste,0,3,214,261,298,340,372,446,533
00136,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00136,AR,Poste,0,3,352,399,436,478,510,584,672
00136,RS,Poste,0,3,214,261,298,340,372,446,533
00137,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00137,AR,Poste,0,3,352,399,436,478,510,584,672
00137,RS,Poste,0,3,214,261,298,340,372,446,533
00138,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00138,AR,Poste,0,3,352,399,436,478,510,584,672
00138,RS,Poste,0,3,214,261,298,340,372,446,533
00139,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00139,AR,Poste,0,3,352,399,436,478,510,584,672
00139,RS,Poste,0,3,214,261,298,340,372,446,533
00141,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00141,AR,Poste,0,3,352,399,436,478,510,584,672
00141,RS,Poste,0,3,214,261,298,340,372,446,533
00142,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00142,AR,Poste,0,3,352,399,436,478,510,584,672
00142,RS,Poste,0,3,214,261,298,340,372,446,533
00143,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00143,AR,Poste,0,3,352,399,436,478,510,584,672
00143,RS,Poste,0,3,214,261,298,340,372,446,533
00144,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00144,AR,Poste,0,3,352,399,436,478,510,584,672
00144,RS,Poste,0,3,214,261,298,340,372,446,533
00145,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00145,AR,Poste,0,3,352,399,436,478,510,584,672
00145,RS,Poste,0,3,214,261,298,340,372,446,533
00146,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00146,AR,Poste,0,3,352,399,436,478,510,584,672
00146,RS,Poste,0,3,214,261,298,340,372,446,533
00147,890,Poste,0,3,800,958,958,1033,1033,1130,1130
